countryName,CODE,data,deaths
New Zealand,NZL,2021/12/31,51
New Zealand,NZL,2022/5/4,775
Nicaragua,NIC,2020/12/31,165
Nicaragua,NIC,2021/12/31,217
Nicaragua,NIC,2022/5/4,235
Niger,NER,2020/12/31,104
Niger,NER,2021/12/31,275
Niger,NER,2022/5/4,309
Nigeria,NGA,2020/12/31,1289
Nigeria,NGA,2021/12/31,3030
Nigeria,NGA,2022/5/4,3143
North Macedonia,MNP,2020/12/31,2503
North Macedonia,MNP,2021/12/31,7960
North Macedonia,MNP,2022/5/4,9283
Norway,NOR,2020/12/31,436
Norway,NOR,2021/12/31,1305
Norway,NOR,2022/5/4,3006
Oman,OMN,2020/12/31,1499
Oman,OMN,2021/12/31,4116
Oman,OMN,2022/5/4,4258
Pakistan,PAK,2020/12/31,10176
Pakistan,PAK,2021/12/31,28933
Pakistan,PAK,2022/5/4,30369
Palau,PLW,2020/12/31,0
Palau,PLW,2021/12/31,0
Palau,PLW,2022/5/4,6
Panama,PAN,2020/12/31,4022
Panama,PAN,2021/12/31,7428
Panama,PAN,2022/5/4,8189
Papua New Guinea,PNG,2020/12/31,9
Papua New Guinea,PNG,2021/12/31,590
Papua New Guinea,PNG,2022/5/4,650
Paraguay,PRY,2020/12/31,2262
Paraguay,PRY,2021/12/31,16624
Paraguay,PRY,2022/5/4,18870
Peru,PER,2020/12/31,93070
Peru,PER,2021/12/31,202690
Peru,PER,2022/5/4,212891
Philippines,PHL,2020/12/31,9244
Philippines,PHL,2021/12/31,51504
Philippines,PHL,2022/5/4,60439
Poland,POL,2020/12/31,28554
Poland,POL,2021/12/31,97054
Poland,POL,2022/5/4,116070
Portugal,PRT,2020/12/31,6906
Portugal,PRT,2021/12/31,18955
Portugal,PRT,2022/5/4,22355
Qatar,QAT,2020/12/31,245
Qatar,QAT,2021/12/31,618
Qatar,QAT,2022/5/4,677
Romania,ROU,2020/12/31,15767
Romania,ROU,2021/12/31,58752
Romania,ROU,2022/5/4,65510
Russia,RUS,2020/12/31,56271
Russia,RUS,2021/12/31,302671
Russia,RUS,2022/5/4,368840
Rwanda,RWA,2020/12/31,92
Rwanda,RWA,2021/12/31,1350
Rwanda,RWA,2022/5/4,1459
Saint Kitts and Nevis,KNA,2020/12/31,0
Saint Kitts and Nevis,KNA,2021/12/31,28
Saint Kitts and Nevis,KNA,2022/5/4,43
Saint Lucia,LCA,2020/12/31,5
Saint Lucia,LCA,2021/12/31,295
Saint Lucia,LCA,2022/5/4,368
Saint Vincent and the Grenadines,VCT,2020/12/31,0
Saint Vincent and the Grenadines,VCT,2021/12/31,81
Saint Vincent and the Grenadines,VCT,2022/5/4,106
Samoa,WSM,2020/12/31,0
Samoa,WSM,2021/12/31,0
Samoa,WSM,2022/5/4,20
San Marino,SMR,2020/12/31,59
San Marino,SMR,2021/12/31,100
San Marino,SMR,2022/5/4,115
